dataset	method	trial	ml	score	time
concrete	lex_size	0	DecisionTreeRegressor	0.280373958589	11.425789833068848
concrete	lex_size	4	DecisionTreeRegressor	0.332767902777	12.163184404373169
enc	lex_size	1	DecisionTreeRegressor	0.765828900153	7.55960488319397
enc	lex_size	0	DecisionTreeRegressor	0.925661931828	7.841757774353027
concrete	lex_size	5	DecisionTreeRegressor	0.321631480985	12.805459260940552
concrete	lex_size	6	DecisionTreeRegressor	0.000952042137287	12.927490234375
concrete	lex_size	8	DecisionTreeRegressor	0.149163494016	13.010164260864258
concrete	lex_size	3	DecisionTreeRegressor	0.231167283541	13.202383518218994
concrete	lex_size	7	DecisionTreeRegressor	0.0979495193318	13.29122543334961
concrete	lex_size	9	DecisionTreeRegressor	0.405716568707	13.530532598495483
concrete	lex_size	2	DecisionTreeRegressor	0.208547318751	13.563448905944824
concrete	lex_size	1	DecisionTreeRegressor	0.373089659609	14.439225912094116
concrete	control	3	DecisionTreeRegressor	0.380412030142	14.908519268035889
concrete	control	4	DecisionTreeRegressor	0.407062435815	16.105382680892944
concrete	control	5	DecisionTreeRegressor	0.186153088901	16.074581146240234
concrete	control	1	DecisionTreeRegressor	0.082304027607	16.296355724334717
concrete	control	0	DecisionTreeRegressor	0.552136566232	16.35102343559265
concrete	control	2	DecisionTreeRegressor	0.160902884111	16.637365579605103
enc	lex_size	2	DecisionTreeRegressor	0.916385555225	7.267055511474609
concrete	control	6	DecisionTreeRegressor	0.276381895306	16.887736320495605
concrete	control	9	DecisionTreeRegressor	0.428656754817	17.08380937576294
concrete	control	7	DecisionTreeRegressor	0.448182084342	17.462890148162842
enc	lex_size	8	DecisionTreeRegressor	0.878964204558	7.428637742996216
concrete	control	8	DecisionTreeRegressor	0.46721492804	17.406304359436035
enc	lex_size	6	DecisionTreeRegressor	0.896633423434	7.661604642868042
enc	lex_size	5	DecisionTreeRegressor	0.882608043764	7.647681713104248
enc	lex_size	7	DecisionTreeRegressor	0.916094052343	8.047960758209229
enc	lex_size	9	DecisionTreeRegressor	0.927490451202	8.140034198760986
enc	control	3	DecisionTreeRegressor	0.86971969526	8.285409688949585
enc	lex_size	4	DecisionTreeRegressor	0.923201945195	8.260217189788818
enc	lex_size	3	DecisionTreeRegressor	0.858603235063	8.31764006614685
enc	control	5	DecisionTreeRegressor	0.798538456639	8.967286825180054
enc	control	6	DecisionTreeRegressor	0.876897183801	9.105849504470825
enc	control	2	DecisionTreeRegressor	0.896206433098	9.456120729446411
enc	control	9	DecisionTreeRegressor	0.88600150851	9.645467758178711
enc	control	7	DecisionTreeRegressor	0.902810871935	9.589971542358398
enc	control	4	DecisionTreeRegressor	0.906637677555	9.570754528045654
enc	control	8	DecisionTreeRegressor	0.915308372567	9.765460968017578
enc	control	0	DecisionTreeRegressor	0.925093814981	10.25651216506958
enc	control	1	DecisionTreeRegressor	0.924940160053	11.11265778541565
housing	lex_size	3	DecisionTreeRegressor	0.44993207718	8.974897623062134
housing	lex_size	0	DecisionTreeRegressor	0.39243988095	9.376809358596802
housing	lex_size	1	DecisionTreeRegressor	0.317075442648	9.502166032791138
housing	lex_size	2	DecisionTreeRegressor	0.283043334042	10.074441194534302
housing	lex_size	8	DecisionTreeRegressor	0.413822447842	8.619539976119995
housing	lex_size	7	DecisionTreeRegressor	0.283700757439	8.916876792907715
housing	control	4	DecisionTreeRegressor	0.454700633027	9.6583411693573
housing	lex_size	4	DecisionTreeRegressor	0.201881462745	9.6736159324646
housing	lex_size	5	DecisionTreeRegressor	0.31126965705	9.937397718429565
housing	lex_size	9	DecisionTreeRegressor	0.387447478776	9.920057773590088
housing	control	8	DecisionTreeRegressor	0.349467502481	10.261056184768677
housing	control	0	DecisionTreeRegressor	0.387408414961	10.496706485748291
housing	control	1	DecisionTreeRegressor	0.376077508899	10.660876512527466
housing	control	5	DecisionTreeRegressor	0.307557981419	10.817212104797363
housing	control	6	DecisionTreeRegressor	0.272210218678	11.078393936157227
housing	control	2	DecisionTreeRegressor	0.267866152652	11.452787399291992
housing	control	7	DecisionTreeRegressor	0.30905764232	11.571098327636719
housing	control	9	DecisionTreeRegressor	0.232934483013	11.630772352218628
housing	control	3	DecisionTreeRegressor	0.338710025886	11.868951797485352
yacht	lex_size	4	DecisionTreeRegressor	0.991733564845	6.413609266281128
yacht	lex_size	1	DecisionTreeRegressor	0.988133683915	6.332031011581421
yacht	lex_size	6	DecisionTreeRegressor	0.985902435507	6.577258348464966
yacht	lex_size	7	DecisionTreeRegressor	0.987632765268	6.734296798706055
yacht	lex_size	0	DecisionTreeRegressor	0.987348921441	6.840811729431152
yacht	lex_size	3	DecisionTreeRegressor	0.987730894388	6.815213680267334
yacht	lex_size	2	DecisionTreeRegressor	0.986251715617	6.89591646194458
yacht	lex_size	5	DecisionTreeRegressor	0.98837674663	6.9599363803863525
yacht	lex_size	8	DecisionTreeRegressor	0.987096615707	6.387181758880615
yacht	lex_size	9	DecisionTreeRegressor	0.988169475934	6.5347981452941895
yacht	control	7	DecisionTreeRegressor	0.986707365452	7.032262563705444
yacht	control	6	DecisionTreeRegressor	0.98838962776	7.4356279373168945
yacht	control	8	DecisionTreeRegressor	0.987899573243	7.6497743129730225
yacht	control	3	DecisionTreeRegressor	0.989100825759	7.833076238632202
yacht	control	0	DecisionTreeRegressor	0.988537346215	8.160932302474976
yacht	control	2	DecisionTreeRegressor	0.986490119622	8.231460332870483
yacht	control	9	DecisionTreeRegressor	0.990367548157	8.408106088638306
yacht	control	1	DecisionTreeRegressor	0.989217407557	8.324331998825073
yacht	control	5	DecisionTreeRegressor	0.984633335062	9.051280975341797
yacht	control	4	DecisionTreeRegressor	0.985947270889	9.37344479560852
heart	lex_size	6	DecisionTreeClassifier	0.740740740741	5.813015937805176
heart	lex_size	2	LogisticRegression	0.837037037037	10.883169412612915
heart	lex_size	1	LogisticRegression	0.814814814815	10.886408567428589
heart	lex_size	8	LogisticRegression	0.803703703704	11.078041315078735
heart	lex_size	2	DecisionTreeClassifier	0.714814814815	6.0555009841918945
heart	lex_size	3	DecisionTreeClassifier	0.722222222222	6.136509895324707
heart	lex_size	1	DecisionTreeClassifier	0.703703703704	6.2452781200408936
heart	lex_size	6	LogisticRegression	0.822222222222	11.264330625534058
heart	lex_size	7	DecisionTreeClassifier	0.766666666667	6.295511722564697
heart	lex_size	0	DecisionTreeClassifier	0.696296296296	6.353917121887207
heart	control	0	DecisionTreeClassifier	0.788888888889	6.5291383266448975
heart	lex_size	3	LogisticRegression	0.825925925926	11.293500900268555
heart	lex_size	0	LogisticRegression	0.818518518519	11.602396249771118
heart	lex_size	5	DecisionTreeClassifier	0.718518518519	6.670170545578003
heart	lex_size	4	DecisionTreeClassifier	0.751851851852	6.719435930252075
heart	lex_size	9	DecisionTreeClassifier	0.755555555556	6.794450283050537
heart	lex_size	8	DecisionTreeClassifier	0.759259259259	6.860393762588501
heart	lex_size	7	LogisticRegression	0.837037037037	12.185045957565308
heart	lex_size	4	LogisticRegression	0.814814814815	12.299297332763672
heart	lex_size	5	LogisticRegression	0.825925925926	12.35536813735962
heart	lex_size	9	LogisticRegression	0.803703703704	12.495070219039917
heart	control	8	DecisionTreeClassifier	0.748148148148	6.440195322036743
