dataset	method	max_stall	trial	ml	score	time
enc	stall	0	4	DecisionTreeRegressor	0.921960196136	0.20808815956115723
enc	stall	0	3	DecisionTreeRegressor	0.921960196136	0.4122154712677002
57617
concrete	stall	0	1	DecisionTreeRegressor	0.288908515469	0.4221527576446533
enc	stall	0	5	DecisionTreeRegressor	0.921960196136	0.42687439918518066
concrete	stall	0	4	DecisionTreeRegressor	0.286722030871	0.4370133876800537
concrete	stall	0	8	DecisionTreeRegressor	0.256990958571	0.21884679794311523
enc	stall	0	8	DecisionTreeRegressor	0.921960196136	0.2547740936279297
enc	stall	0	7	DecisionTreeRegressor	0.921960196136	0.3023977279663086
7295
concrete	stall	0	7	DecisionTreeRegressor	0.299858798371	0.30440616607666016
concrete	stall	0	5	DecisionTreeRegressor	0.307814665513	0.569943904876709
enc	stall	0	5	LassoLarsCV	0.866686541243	0.4915893077850342
enc	stall	0	2	LassoLarsCV	0.866686541243	0.6706743240356445
concrete	stall	0	6	DecisionTreeRegressor	0.312748825127	0.680927038192749
concrete	stall	0	9	DecisionTreeRegressor	0.343799320153	0.7391407489776611
enc	stall	0	3	LassoLarsCV	0.866686541243	0.7806539535522461
584
concrete	stall	0	0	LassoLarsCV	0.545959272256	0.8304579257965088
enc	stall	0	4	LassoLarsCV	0.866686541243	0.8325028419494629
concrete	stall	0	1	LassoLarsCV	0.545959272256	0.3561375141143799
enc	stall	0	8	LassoLarsCV	0.866686541243	0.8549385070800781
concrete	stall	0	2	LassoLarsCV	0.545959272256	0.8540315628051758
concrete	stall	0	3	LassoLarsCV	0.545959272256	0.8556411266326904
enc	stall	0	7	LassoLarsCV	0.866686541243	0.8605291843414307
enc	stall	0	9	DecisionTreeRegressor	0.921960196136	0.9797763824462891
enc	stall	0	0	LassoLarsCV	0.866686541243	1.099419355392456
concrete	stall	0	4	LassoLarsCV	0.545959272256	1.1005637645721436
concrete	stall	0	5	LassoLarsCV	0.545959272256	0.3785276412963867
enc	stall	0	1	LassoLarsCV	0.866686541243	0.1472172737121582
enc	stall	0	6	LassoLarsCV	0.866686541243	0.15197467803955078
concrete	stall	0	8	LassoLarsCV	0.545959272256	0.2917611598968506
housing	stall	0	1	DecisionTreeRegressor	0.415645023512	0.05117297172546387
enc	stall	0	6	DecisionTreeRegressor	0.921960196136	0.1554889678955078
enc	stall	0	2	DecisionTreeRegressor	0.921960196136	0.15996789932250977
enc	stall	0	1	DecisionTreeRegressor	0.921960196136	0.15460419654846191
concrete	stall	0	3	DecisionTreeRegressor	0.314492955808	0.16794180870056152
concrete	stall	0	7	LassoLarsCV	0.545959272256	0.3092072010040283
enc	stall	0	0	DecisionTreeRegressor	0.921960196136	0.08798050880432129
enc	stall	10	2	DecisionTreeRegressor	0.922846081916	1.6095995903015137
concrete	stall	0	9	LassoLarsCV	0.545959272256	0.31734418869018555
enc	stall	10	1	DecisionTreeRegressor	0.882558650373	1.749669075012207
enc	stall	10	4	DecisionTreeRegressor	0.916093037662	1.7068846225738525
enc	stall	10	0	DecisionTreeRegressor	0.860245917707	1.417898178100586
enc	stall	10	5	DecisionTreeRegressor	0.930941676549	1.2642443180084229
enc	stall	10	6	DecisionTreeRegressor	0.926688617473	2.000520944595337
enc	stall	10	7	DecisionTreeRegressor	0.862050055885	2.0138397216796875
enc	stall	0	9	LassoLarsCV	0.866686541243	0.15009832382202148
enc	stall	10	3	DecisionTreeRegressor	0.921333506053	2.03365421295166
enc	stall	10	9	DecisionTreeRegressor	0.915808574997	2.1749792098999023
concrete	stall	10	4	DecisionTreeRegressor	0.320301490433	1.9886019229888916
enc	stall	10	8	DecisionTreeRegressor	0.884406698491	1.6231739521026611
housing	stall	0	5	DecisionTreeRegressor	0.248942965007	0.051592350006103516
housing	stall	0	4	DecisionTreeRegressor	0.286589001318	0.050695180892944336
housing	stall	0	2	DecisionTreeRegressor	0.389766038049	0.05369138717651367
housing	stall	0	0	DecisionTreeRegressor	0.342794078922	0.05200934410095215
housing	stall	0	3	DecisionTreeRegressor	0.366956242143	0.050360679626464844
enc	stall	10	0	LassoLarsCV	0.866686541243	2.9941492080688477
concrete	stall	10	2	DecisionTreeRegressor	0.0402351501952	3.1613123416900635
concrete	stall	10	0	DecisionTreeRegressor	0.250831715371	2.9887044429779053
concrete	stall	10	7	DecisionTreeRegressor	0.367780018497	2.9375534057617188
concrete	stall	10	9	DecisionTreeRegressor	0.00829507902485	2.767507314682007
concrete	stall	10	5	DecisionTreeRegressor	0.365382129778	3.783196449279785
concrete	stall	10	1	DecisionTreeRegressor	0.19272090228	3.938516139984131
concrete	stall	10	3	DecisionTreeRegressor	0.15561691589	4.116129636764526
enc	stall	10	3	LassoLarsCV	0.850359470711	3.0357563495635986
concrete	stall	10	7	LassoLarsCV	-0.703718262602	4.295692443847656
concrete	stall	10	3	LassoLarsCV	0.530895898079	4.331500053405762
concrete	stall	10	4	LassoLarsCV	0.632214648957	4.239808082580566
housing	stall	0	8	DecisionTreeRegressor	0.274629131094	0.05398726463317871
housing	stall	0	9	DecisionTreeRegressor	0.267014968413	0.05273890495300293
housing	stall	0	6	DecisionTreeRegressor	0.388599429936	0.055169105529785156
enc	stall	10	4	LassoLarsCV	-8.53959425703e+15	3.211212158203125
housing	stall	0	7	DecisionTreeRegressor	0.333010939708	0.053052663803100586
concrete	stall	10	8	DecisionTreeRegressor	0.255609629254	3.4044618606567383
enc	stall	10	1	LassoLarsCV	0.882130928099	3.2080748081207275
enc	stall	10	2	LassoLarsCV	0.876044694563	3.283468246459961
concrete	stall	10	6	DecisionTreeRegressor	0.167890800115	3.763482093811035
concrete	stall	10	6	LassoLarsCV	0.630515817955	4.848036766052246
