dataset	method	trial	ml	score	time
enc	weight_parents	1	DecisionTreeRegressor	0.893471366053	8.80275011062622
enc	weight_parents	0	DecisionTreeRegressor	0.922638155978	9.84746789932251
enc	control	9	DecisionTreeRegressor	0.893628576018	8.256666660308838
enc	control	2	DecisionTreeRegressor	0.92363306996	8.518998861312866
enc	control	7	DecisionTreeRegressor	0.912011121426	8.984638929367065
enc	control	3	DecisionTreeRegressor	0.895909578812	9.338027000427246
enc	control	4	DecisionTreeRegressor	0.878700601113	9.224709510803223
enc	control	5	DecisionTreeRegressor	0.863269797117	9.936405181884766
concrete	control	8	DecisionTreeRegressor	0.133300691651	15.216929912567139
concrete	control	6	DecisionTreeRegressor	0.418477828924	15.578136444091797
concrete	control	0	DecisionTreeRegressor	0.190510166557	15.393640279769897
concrete	control	1	DecisionTreeRegressor	0.407549305617	16.38747000694275
concrete	control	7	DecisionTreeRegressor	0.343561628585	16.377196311950684
concrete	control	3	DecisionTreeRegressor	0.374123349916	17.03190040588379
housing	weight_parents	3	DecisionTreeRegressor	0.272406528131	10.42545223236084
housing	weight_parents	0	DecisionTreeRegressor	0.338370064277	10.510515928268433
concrete	control	2	DecisionTreeRegressor	0.0658424702386	17.374476671218872
housing	weight_parents	1	DecisionTreeRegressor	0.323930708164	10.937127351760864
housing	weight_parents	2	DecisionTreeRegressor	0.29091160962	11.064676284790039
concrete	control	9	DecisionTreeRegressor	0.400876568002	17.424511909484863
enc	weight_parents	6	DecisionTreeRegressor	0.913918798132	8.225398778915405
enc	weight_parents	3	DecisionTreeRegressor	0.898122211658	8.481972217559814
enc	control	1	DecisionTreeRegressor	0.924543412892	8.082104206085205
enc	weight_parents	5	DecisionTreeRegressor	0.925817061931	8.483906269073486
enc	weight_parents	9	DecisionTreeRegressor	0.906169249453	9.043211221694946
enc	control	0	DecisionTreeRegressor	0.927570583232	9.55140995979309
housing	control	8	DecisionTreeRegressor	0.417000876819	9.516472578048706
enc	control	8	DecisionTreeRegressor	0.901444406897	9.768131017684937
enc	weight_parents	4	DecisionTreeRegressor	0.928303799277	9.509993553161621
enc	weight_parents	8	DecisionTreeRegressor	0.915465215571	8.892858743667603
enc	weight_parents	2	DecisionTreeRegressor	0.699190316914	9.764037847518921
enc	control	6	DecisionTreeRegressor	0.923931249268	10.11795449256897
housing	weight_parents	8	DecisionTreeRegressor	0.304562282061	10.178253650665283
housing	control	9	DecisionTreeRegressor	0.247690368227	10.24835753440857
housing	control	1	DecisionTreeRegressor	0.333100944827	10.331085681915283
housing	control	4	DecisionTreeRegressor	0.312046417123	10.435168981552124
enc	weight_parents	7	DecisionTreeRegressor	0.850011508818	9.505426406860352
housing	control	6	DecisionTreeRegressor	0.173939302706	10.896774530410767
housing	control	5	DecisionTreeRegressor	0.273278614337	10.967336654663086
housing	weight_parents	4	DecisionTreeRegressor	0.0935673244374	9.989991188049316
housing	weight_parents	5	DecisionTreeRegressor	0.0862062552217	9.9150710105896
housing	control	2	DecisionTreeRegressor	0.1892818874	10.468292474746704
housing	weight_parents	6	DecisionTreeRegressor	0.379573629103	10.60611343383789
housing	control	3	DecisionTreeRegressor	-0.0978476168369	10.764898538589478
housing	weight_parents	9	DecisionTreeRegressor	-0.00944403893081	10.95930790901184
housing	control	0	DecisionTreeRegressor	0.260438584142	12.480999231338501
concrete	weight_parents	8	DecisionTreeRegressor	0.22248388606	14.736202716827393
concrete	weight_parents	7	DecisionTreeRegressor	0.258634344937	14.988919973373413
concrete	weight_parents	2	DecisionTreeRegressor	0.24242504687	14.75147533416748
concrete	control	4	DecisionTreeRegressor	0.355052374499	15.078569173812866
concrete	weight_parents	0	DecisionTreeRegressor	0.416514309046	15.069644451141357
concrete	weight_parents	4	DecisionTreeRegressor	0.251341646623	15.5777428150177
concrete	control	5	DecisionTreeRegressor	0.296465902266	15.760276079177856
