class	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20
7.000000	131.000000	214.000000	9.000000	0.000000	0.000000	0.777780	0.651850	1.277800	0.240740	6.814800	5.000000	4.777800	10.667000	-5.444400	-6.111100	11.556000	10.667000	0.568160	2.058300
7.000000	86.000000	194.000000	9.000000	0.000000	0.000000	1.777800	1.274100	1.888900	0.385180	16.778000	13.222000	16.667000	20.444000	-10.667000	-0.333330	11.000000	20.444000	0.352130	2.593100
6.000000	191.000000	162.000000	9.000000	0.000000	0.000000	2.611100	1.885200	14.167000	210.920000	40.963000	34.889000	50.111000	37.889000	-18.222000	27.444000	-9.222200	50.667000	0.298120	-2.555700
5.000000	43.000000	152.000000	9.000000	0.000000	0.000000	1.944400	1.707400	1.222200	0.829630	1.518500	1.000000	2.888900	0.666670	-1.555600	4.111100	-2.555600	2.888900	0.648680	-1.933200
7.000000	74.000000	215.000000	9.000000	0.000000	0.000000	0.444440	0.074074	0.500000	0.122220	6.925900	5.111100	4.444400	11.222000	-5.444400	-7.444400	12.889000	11.222000	0.603700	1.991200
4.000000	104.000000	129.000000	9.000000	0.000000	0.000000	19.278000	28.907000	1.111100	1.096300	37.889000	33.111000	47.444000	33.111000	-14.333000	28.667000	-14.333000	47.444000	0.320610	-2.097800
3.000000	194.000000	124.000000	9.000000	0.000000	0.000000	1.500000	0.433330	1.388900	0.907410	2.814800	1.000000	5.555600	1.888900	-5.444400	8.222200	-2.777800	5.555600	0.836770	-2.284600
1.000000	151.000000	147.000000	9.000000	0.000000	0.000000	0.444440	0.429630	0.722220	0.107410	6.037000	5.666700	9.222200	3.222200	-1.111100	9.555600	-8.444400	9.555600	0.652250	-1.508400
2.000000	31.000000	42.000000	9.000000	0.111110	0.000000	1.277800	0.685180	0.944440	0.774070	127.040000	117.000000	141.780000	122.330000	-30.111000	44.222000	-14.111000	141.780000	0.174630	-2.314400
4.000000	189.000000	68.000000	9.000000	0.000000	0.000000	1.666700	1.619300	1.111100	1.344400	38.593000	38.333000	42.333000	35.111000	-0.777780	11.222000	-10.444000	42.333000	0.170450	-1.624800
2.000000	221.000000	35.000000	9.000000	0.000000	0.000000	0.666670	0.133330	0.944450	0.107410	98.741000	83.333000	122.560000	90.333000	-46.222000	71.444000	-25.222000	122.560000	0.320010	-2.280800
5.000000	208.000000	34.000000	9.000000	0.000000	0.000000	1.722200	1.731000	0.444440	0.501850	14.444000	10.778000	21.000000	11.556000	-11.000000	19.667000	-8.666700	21.000000	0.479960	-2.162400
2.000000	155.000000	20.000000	9.000000	0.000000	0.000000	0.611110	0.327730	0.611110	0.327730	111.700000	98.444000	129.560000	107.110000	-39.778000	53.556000	-13.778000	129.560000	0.240110	-2.385200
7.000000	182.000000	197.000000	9.000000	0.111110	0.000000	2.166700	0.691220	2.388900	1.583500	12.852000	10.444000	12.778000	15.333000	-7.222200	-0.222220	7.444400	15.333000	0.322070	2.628200
2.000000	202.000000	41.000000	9.000000	0.000000	0.000000	0.944450	0.772200	1.111100	1.025600	123.040000	111.890000	139.780000	117.440000	-33.444000	50.222000	-16.778000	139.780000	0.199350	-2.299900
1.000000	95.000000	57.000000	9.000000	0.000000	0.000000	1.833300	3.411100	2.111100	1.718500	26.296000	24.667000	34.444000	19.778000	-4.888900	24.444000	-19.556000	34.444000	0.425690	-1.739000
2.000000	231.000000	49.000000	9.000000	0.000000	0.000000	0.555560	0.385190	0.666670	0.266670	120.700000	108.110000	139.330000	114.670000	-37.778000	55.889000	-18.111000	139.330000	0.223880	-2.315500
2.000000	49.000000	40.000000	9.000000	0.000000	0.000000	1.000000	0.421630	0.833330	0.722650	125.110000	114.000000	141.560000	119.780000	-33.333000	49.333000	-16.000000	141.560000	0.194540	-2.313700
1.000000	76.000000	135.000000	9.000000	0.000000	0.000000	0.444440	0.118520	0.833330	0.122220	5.000000	6.888900	5.444400	2.666700	5.666700	1.333300	-7.000000	6.888900	0.613760	-0.692030
7.000000	160.000000	210.000000	9.000000	0.000000	0.000000	1.611100	1.129600	1.222200	1.007400	17.482000	13.778000	16.000000	22.667000	-11.111000	-4.444400	15.556000	22.667000	0.403940	2.386400
