dataset	method	trial	ml	score	time
enc	lex_size	0	DecisionTreeRegressor	0.921801144654	7.05208158493042
enc	lex_size	16	DecisionTreeRegressor	0.915188193067	7.176347494125366
enc	lex_size	19	DecisionTreeRegressor	0.915166435849	7.376811981201172
enc	lex_size	12	DecisionTreeRegressor	0.887628988252	7.572771310806274
enc	lex_size	18	DecisionTreeRegressor	0.92915260332	7.071023464202881
enc	lex_size	17	DecisionTreeRegressor	0.918641283054	7.155798435211182
enc	lex_size	14	DecisionTreeRegressor	0.924365357245	7.209130048751831
enc	lex_size	1	DecisionTreeRegressor	0.918908718565	7.2525529861450195
enc	lex_size	10	DecisionTreeRegressor	0.843349603321	7.382538318634033
enc	lex_size	11	DecisionTreeRegressor	0.910773810556	7.612282752990723
enc	lex_size	3	DecisionTreeRegressor	0.895994725764	7.756937026977539
enc	lex_size	2	DecisionTreeRegressor	0.929378860576	7.583230495452881
enc	lex_size	6	DecisionTreeRegressor	0.931398560388	7.882091760635376
enc	lex_size	5	DecisionTreeRegressor	0.925127936826	7.925033330917358
enc	lex_size	4	DecisionTreeRegressor	0.884810530855	7.782492399215698
enc	lex_size	9	DecisionTreeRegressor	0.906142712649	7.946538209915161
enc	lex_size	8	DecisionTreeRegressor	0.848941026473	8.199626922607422
enc	lex_size	7	DecisionTreeRegressor	0.887606028396	8.179709196090698
enc	lex_size	13	DecisionTreeRegressor	0.912272619535	8.254989624023438
concrete	lex_size	12	DecisionTreeRegressor	0.378619649854	12.352536916732788
concrete	lex_size	19	DecisionTreeRegressor	0.319009444046	12.38526964187622
concrete	lex_size	14	DecisionTreeRegressor	0.0523087554975	12.520266771316528
concrete	lex_size	17	DecisionTreeRegressor	0.270653545601	12.54230284690857
concrete	lex_size	15	DecisionTreeRegressor	0.400786656378	12.370011806488037
concrete	lex_size	13	DecisionTreeRegressor	0.309142822844	12.695344924926758
concrete	lex_size	16	DecisionTreeRegressor	0.470100381345	12.710596799850464
concrete	lex_size	18	DecisionTreeRegressor	0.332541115495	12.768407583236694
concrete	lex_size	0	DecisionTreeRegressor	0.305975548172	12.954155921936035
