dataset	method	trial	ml	score	time
enc	control	15	DecisionTreeRegressor	0.76406514399	9.178698539733887
enc	control	5	DecisionTreeRegressor	0.912224980888	8.372613906860352
enc	weight_parents	6	DecisionTreeRegressor	0.884838484197	9.66178274154663
enc	weight_parents	10	DecisionTreeRegressor	0.898900918378	9.667729139328003
enc	control	7	DecisionTreeRegressor	0.885061388528	9.801452159881592
enc	control	12	DecisionTreeRegressor	0.904531771503	8.854658603668213
enc	control	1	DecisionTreeRegressor	0.914216450172	9.931260347366333
enc	weight_parents	19	DecisionTreeRegressor	0.888859237874	9.960311889648438
enc	weight_parents	1	DecisionTreeRegressor	0.88071771968	9.99275279045105
enc	weight_parents	5	DecisionTreeRegressor	0.9178374659	9.099417209625244
enc	weight_parents	14	DecisionTreeRegressor	0.871018110298	10.036274433135986
enc	control	3	DecisionTreeRegressor	0.88316037332	9.158251523971558
enc	weight_parents	3	DecisionTreeRegressor	0.91870324138	9.053390741348267
enc	weight_parents	4	DecisionTreeRegressor	0.924864548294	10.110767602920532
enc	weight_parents	2	DecisionTreeRegressor	0.886712760826	9.24936318397522
enc	weight_parents	7	DecisionTreeRegressor	0.907700657481	10.24378228187561
enc	weight_parents	11	DecisionTreeRegressor	0.921087520677	10.304617166519165
enc	weight_parents	16	DecisionTreeRegressor	0.9218804316	10.45009732246399
enc	control	2	DecisionTreeRegressor	0.893248505315	10.454148292541504
enc	control	10	DecisionTreeRegressor	0.869974934839	8.985438823699951
enc	weight_parents	12	DecisionTreeRegressor	0.918580057152	10.343007802963257
enc	control	14	DecisionTreeRegressor	0.892757513772	9.347048282623291
enc	weight_parents	0	DecisionTreeRegressor	0.887124102992	10.560687780380249
enc	weight_parents	9	DecisionTreeRegressor	0.908962415387	10.622747898101807
enc	control	17	DecisionTreeRegressor	0.898017798019	9.129454135894775
enc	weight_parents	15	DecisionTreeRegressor	0.884866992918	10.682689666748047
enc	control	6	DecisionTreeRegressor	0.872906292196	9.295374393463135
enc	control	4	DecisionTreeRegressor	0.909283614007	9.72212839126587
enc	weight_parents	17	DecisionTreeRegressor	0.898725967276	10.630762100219727
enc	weight_parents	8	DecisionTreeRegressor	0.899205993044	10.730317115783691
enc	control	16	DecisionTreeRegressor	0.875314969187	9.953972578048706
enc	control	13	DecisionTreeRegressor	0.896299493828	9.915756225585938
enc	control	11	DecisionTreeRegressor	0.927632924761	10.015004396438599
enc	weight_parents	18	DecisionTreeRegressor	0.889983876053	11.31134843826294
enc	control	9	DecisionTreeRegressor	0.923029965769	10.078004121780396
enc	control	0	DecisionTreeRegressor	0.900424854084	11.369779825210571
enc	control	18	DecisionTreeRegressor	0.897554175266	10.030467987060547
enc	weight_parents	13	DecisionTreeRegressor	0.928318989673	11.705996990203857
enc	control	19	DecisionTreeRegressor	0.864992530855	10.494713068008423
enc	control	8	DecisionTreeRegressor	0.923078885157	10.93096661567688
housing	weight_parents	4	DecisionTreeRegressor	0.185376619674	9.44435715675354
housing	weight_parents	5	DecisionTreeRegressor	0.217479089098	9.812191247940063
housing	weight_parents	7	DecisionTreeRegressor	0.282540441285	9.79115891456604
housing	weight_parents	6	DecisionTreeRegressor	0.237831982993	9.908117294311523
housing	weight_parents	3	DecisionTreeRegressor	0.358037411227	10.887072324752808
housing	weight_parents	1	DecisionTreeRegressor	0.225725038517	10.864290952682495
housing	weight_parents	0	DecisionTreeRegressor	0.344333456426	10.877556562423706
housing	weight_parents	2	DecisionTreeRegressor	0.141530032219	11.043601512908936
concrete	weight_parents	8	DecisionTreeRegressor	0.0660522584234	15.298737525939941
concrete	control	13	DecisionTreeRegressor	0.0757407102125	15.657735824584961
concrete	weight_parents	12	DecisionTreeRegressor	0.304266028734	15.663955688476562
concrete	control	19	DecisionTreeRegressor	0.505357811542	15.716742277145386
concrete	control	8	DecisionTreeRegressor	0.0351157052411	15.825428009033203
concrete	control	2	DecisionTreeRegressor	0.197868359397	15.914855003356934
concrete	control	3	DecisionTreeRegressor	0.222238796298	16.02499032020569
concrete	control	4	DecisionTreeRegressor	0.420240600832	15.15905499458313
concrete	control	9	DecisionTreeRegressor	0.0451800648638	16.174954652786255
concrete	weight_parents	19	DecisionTreeRegressor	0.207510367637	15.237699270248413
concrete	weight_parents	9	DecisionTreeRegressor	0.330647823733	16.345743656158447
concrete	weight_parents	17	DecisionTreeRegressor	0.322728390662	16.362550973892212
concrete	control	1	DecisionTreeRegressor	0.00590395158353	16.370068550109863
concrete	weight_parents	4	DecisionTreeRegressor	0.304345387206	16.430742740631104
concrete	control	0	DecisionTreeRegressor	0.0499363880168	15.6331787109375
concrete	control	5	DecisionTreeRegressor	0.279250524977	16.623393058776855
02246
concrete	control	18	DecisionTreeRegressor	0.149323508414	16.76264190673828
concrete	control	10	DecisionTreeRegressor	0.348799858812	16.83436346054077
concrete	weight_parents	0	DecisionTreeRegressor	0.186294008176	16.858320951461792
concrete	control	15	DecisionTreeRegressor	0.414700808322	16.899966716766357
concrete	weight_parents	7	DecisionTreeRegressor	0.334029193994	16.915762186050415
concrete	weight_parents	13	DecisionTreeRegressor	0.362875171465	16.927669286727905
concrete	control	17	DecisionTreeRegressor	0.210934705155	17.12906789779663
concrete	weight_parents	1	DecisionTreeRegressor	0.446979754128	17.248945951461792
concrete	weight_parents	3	DecisionTreeRegressor	0.325178612633	16.353766679763794
concrete	weight_parents	5	DecisionTreeRegressor	0.256756066439	17.382193565368652
concrete	weight_parents	2	DecisionTreeRegressor	0.374758886477	17.38502812385559
concrete	weight_parents	16	DecisionTreeRegressor	0.232452369649	17.493316411972046
concrete	control	11	DecisionTreeRegressor	0.0531810863854	17.395312309265137
concrete	weight_parents	14	DecisionTreeRegressor	0.244887853419	17.594571590423584
concrete	control	12	DecisionTreeRegressor	0.229731118796	17.42213225364685
concrete	control	16	DecisionTreeRegressor	0.436590106074	17.639230251312256
concrete	weight_parents	11	DecisionTreeRegressor	0.218389969658	17.671902179718018
concrete	weight_parents	6	DecisionTreeRegressor	0.422510205309	17.752708196640015
housing	weight_parents	9	DecisionTreeRegressor	0.33540906402	9.564330816268921
concrete	weight_parents	15	DecisionTreeRegressor	0.227901790798	18.12167263031006
concrete	control	14	DecisionTreeRegressor	0.381412119641	18.220571994781494
concrete	control	6	DecisionTreeRegressor	0.225808289901	18.45700979232788
housing	weight_parents	15	DecisionTreeRegressor	0.283032212183	9.976661205291748
housing	control	6	DecisionTreeRegressor	0.0900188281548	9.909879922866821
concrete	weight_parents	10	DecisionTreeRegressor	0.294518684275	18.49559211730957
housing	weight_parents	12	DecisionTreeRegressor	0.244262588368	9.51244306564331
housing	control	5	DecisionTreeRegressor	0.187012131313	10.163741827011108
housing	weight_parents	13	DecisionTreeRegressor	0.410052807246	9.737391710281372
housing	weight_parents	14	DecisionTreeRegressor	0.332945348393	9.66367769241333
housing	weight_parents	16	DecisionTreeRegressor	0.407375722594	10.025543212890625
housing	control	8	DecisionTreeRegressor	0.250893081845	9.882657289505005
housing	control	4	DecisionTreeRegressor	-0.270134323437	10.26356816291809
housing	weight_parents	8	DecisionTreeRegressor	0.347096169074	10.50265908241272
housing	weight_parents	11	DecisionTreeRegressor	0.121847624547	10.515913248062134
housing	control	0	DecisionTreeRegressor	0.341255575488	10.607794046401978
housing	control	7	DecisionTreeRegressor	0.399446275449	10.694302082061768
housing	control	1	DecisionTreeRegressor	0.0653556784325	10.715028047561646
housing	weight_parents	19	DecisionTreeRegressor	0.262535140077	10.899028301239014
housing	weight_parents	17	DecisionTreeRegressor	0.360900356507	11.33320140838623
housing	control	3	DecisionTreeRegressor	0.399017321687	11.41472315788269
housing	weight_parents	18	DecisionTreeRegressor	0.334943076818	11.505123615264893
housing	weight_parents	10	DecisionTreeRegressor	0.33960482053	12.361907482147217
housing	control	2	DecisionTreeRegressor	0.378816978613	12.789194345474243
housing	control	19	DecisionTreeRegressor	0.153615677313	9.985942840576172
enc	weight_parents	5	LassoLarsCV	0.893004700637	21.502302169799805
enc	control	3	LassoLarsCV	0.846159128106	24.201472282409668
housing	control	11	DecisionTreeRegressor	0.233736419601	9.690379858016968
housing	control	17	DecisionTreeRegressor	0.178010583905	9.877500057220459
housing	control	18	DecisionTreeRegressor	0.255261150084	10.081269264221191
housing	control	16	DecisionTreeRegressor	0.374826456385	10.230828762054443
enc	weight_parents	10	LassoLarsCV	0.847833581938	22.816465377807617
enc	weight_parents	18	LassoLarsCV	-197.129447194	22.979151725769043
housing	control	9	DecisionTreeRegressor	0.205996884634	10.6152663230896
housing	control	14	DecisionTreeRegressor	0.255435096552	10.616732835769653
enc	weight_parents	4	LassoLarsCV	0.866751260693	24.289302587509155
housing	control	10	DecisionTreeRegressor	0.0280916820302	10.94442629814148
housing	control	12	DecisionTreeRegressor	0.102499645122	11.081693410873413
enc	weight_parents	1	LassoLarsCV	0.88346125176	24.955967664718628
housing	control	15	DecisionTreeRegressor	0.21648781871	11.063338279724121
enc	weight_parents	12	LassoLarsCV	0.883063861608	24.077205181121826
concrete	control	7	LassoLarsCV	0.596061891516	26.874433755874634
enc	weight_parents	19	LassoLarsCV	0.876750705014	24.497270822525024
enc	weight_parents	0	LassoLarsCV	0.800239792384	26.379050970077515
enc	control	4	LassoLarsCV	0.871412799188	27.444313526153564
enc	weight_parents	2	LassoLarsCV	0.841694782055	27.56337022781372
enc	weight_parents	7	LassoLarsCV	0.887114590692	27.82116174697876
enc	weight_parents	3	LassoLarsCV	0.918334214218	27.887223958969116
enc	control	1	LassoLarsCV	0.872525646521	25.3707914352417
enc	control	5	LassoLarsCV	-8083.49936764	25.683394193649292
enc	control	6	LassoLarsCV	0.864215735727	25.469990015029907
enc	control	17	LassoLarsCV	0.866686541243	24.292316913604736
concrete	control	4	LassoLarsCV	0.63087203025	27.566434860229492
enc	weight_parents	13	LassoLarsCV	0.80809518156	29.36309289932251
